match_id,player_id,rating,minutes_played,goals,assists,yellow_cards,red_cards,shots_on_target,passes_completed
1,101,2.2,75,0,0,2,FALSE,2,24
1,141,6.8,88,0,1,1,FALSE,5,40
1,39,1.6,90,0,1,2,FALSE,5,27
1,106,2.9,84,1,2,0,FALSE,3,32
1,79,0.9,51,1,1,2,FALSE,0,5
1,107,4.9,17,0,1,0,FALSE,5,9
1,14,2.5,44,2,1,0,FALSE,4,13
1,77,5.7,50,2,2,1,FALSE,1,31
1,133,8,11,2,0,0,FALSE,0,9
1,9,5.3,60,2,0,1,FALSE,0,23
1,8,9.1,15,2,1,1,FALSE,0,4
1,121,4.6,68,1,0,0,FALSE,0,4
1,47,3,5,0,1,2,FALSE,1,0
1,126,7.8,77,0,0,0,FALSE,1,16
1,156,9,9,2,1,1,FALSE,2,37
1,109,7.3,28,2,0,1,FALSE,2,26
2,125,8.8,86,2,2,2,TRUE,4,13
2,110,7.1,27,1,0,2,FALSE,2,11
2,80,3.4,83,2,0,0,FALSE,3,33
2,32,5.1,25,2,2,2,FALSE,4,14
2,141,5.7,41,0,2,0,FALSE,4,6
2,111,9.4,75,2,0,2,FALSE,3,26
2,48,8.4,38,2,1,2,FALSE,0,36
2,116,6.8,72,0,1,0,FALSE,3,21
2,54,0.4,35,1,0,0,FALSE,1,31
2,42,2.9,20,2,0,2,FALSE,0,34
2,154,9.7,18,1,0,2,FALSE,1,25
2,93,0.1,18,2,2,2,FALSE,1,15
2,30,4.2,55,1,2,1,FALSE,3,26
2,72,0.6,33,1,0,0,FALSE,0,20
2,43,7.2,85,0,2,1,FALSE,5,21
2,50,2.7,78,1,0,0,FALSE,0,1
3,44,9.2,54,2,1,1,TRUE,3,28
3,52,8.6,50,0,1,2,FALSE,4,14
3,109,7.9,5,0,0,0,FALSE,5,40
3,75,9.4,25,2,0,1,FALSE,2,8
3,117,9.4,25,2,2,1,FALSE,0,14
3,82,7.4,21,1,1,2,FALSE,1,20
3,86,0.8,73,2,1,0,FALSE,2,16
3,25,7.1,63,1,1,2,FALSE,1,40
3,42,5.9,59,2,0,2,FALSE,5,33
3,23,0.3,51,1,1,0,FALSE,4,36
3,39,0.2,35,1,1,2,TRUE,2,20
3,43,9.4,32,0,0,2,FALSE,0,35
3,76,0.5,72,1,2,2,FALSE,5,36
3,87,2,43,2,2,0,FALSE,1,30
3,59,0.3,56,2,1,1,FALSE,4,13
3,105,5,72,2,0,0,TRUE,0,14
4,126,7.6,5,2,0,2,FALSE,1,1
4,7,8.7,26,2,1,0,FALSE,1,9
4,118,7.4,35,0,2,0,FALSE,1,14
4,130,3.9,83,2,2,2,TRUE,0,20
4,64,8.1,38,2,0,1,FALSE,5,13
4,87,8.7,38,2,2,2,FALSE,3,25
4,115,5.2,87,2,1,2,FALSE,3,30
4,105,2.8,22,2,0,0,FALSE,0,40
4,133,7.5,23,2,1,2,FALSE,0,28
4,158,1.6,66,2,2,1,FALSE,0,36
4,150,3.6,45,1,1,2,FALSE,3,36
4,157,0.5,87,2,1,0,FALSE,5,14
4,22,6.1,21,2,2,0,TRUE,3,28
4,83,4.4,15,0,2,2,FALSE,5,24
4,10,4.1,83,0,1,0,FALSE,2,33
4,120,3.7,40,1,2,0,FALSE,3,0
5,92,8,44,2,1,0,FALSE,3,10
5,11,1.3,85,0,1,1,TRUE,5,12
5,3,1,32,2,1,0,FALSE,2,18
5,117,7.9,14,0,2,2,FALSE,3,29
5,97,7.9,28,1,0,1,FALSE,5,12
5,79,5.7,76,1,2,1,FALSE,0,17
5,94,3.3,88,0,0,1,FALSE,1,26
5,133,8.3,78,1,0,2,FALSE,5,25
5,53,8.1,24,2,0,0,FALSE,2,23
5,110,9.7,89,1,1,2,FALSE,3,8
5,45,2.5,82,1,1,2,FALSE,5,22
5,42,2.4,7,2,0,0,FALSE,0,11
5,39,6.3,5,1,1,1,TRUE,3,28
5,137,2.9,35,2,1,2,FALSE,5,34
5,129,1.6,80,2,1,1,FALSE,3,33
5,41,0.3,37,1,1,1,FALSE,4,34
6,38,5.2,47,0,2,0,FALSE,0,38
6,58,7.9,90,1,1,2,TRUE,2,3
6,112,6.3,4,0,1,0,FALSE,0,22
6,23,4.7,2,1,2,0,FALSE,5,39
6,9,6.4,46,1,2,1,TRUE,4,37
6,10,2.9,83,1,1,2,FALSE,2,18
6,5,0.4,53,2,0,2,FALSE,5,27
6,57,2.6,40,2,1,1,FALSE,5,3
